# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Encode::MIME::Name;
0.000026,2,0.000013,use strict;
0.000273,2,0.000137,use warnings;
0.000000,0,0.000000,'iso-2022-jp-1'         => 'ISO-2022-JP-1',
0.000000,0,0.000000,'iso-2022-kr'           => 'ISO-2022-KR',
0.000000,0,0.000000,'iso-8859-1'            => 'ISO-8859-1',
0.000000,0,0.000000,'iso-8859-10'           => 'ISO-8859-10',
0.000000,0,0.000000,'iso-8859-13'           => 'ISO-8859-13',
0.000000,0,0.000000,'iso-8859-14'           => 'ISO-8859-14',
0.000000,0,0.000000,'iso-8859-15'           => 'ISO-8859-15',
0.000000,0,0.000000,'iso-8859-16'           => 'ISO-8859-16',
0.000000,0,0.000000,'iso-8859-2'            => 'ISO-8859-2',
0.000000,0,0.000000,'iso-8859-3'            => 'ISO-8859-3',
0.000000,0,0.000000,'iso-8859-4'            => 'ISO-8859-4',
0.000000,0,0.000000,'iso-8859-5'            => 'ISO-8859-5',
0.000000,0,0.000000,'iso-8859-6'            => 'ISO-8859-6',
0.000000,0,0.000000,'iso-8859-7'            => 'ISO-8859-7',
0.000000,0,0.000000,'iso-8859-8'            => 'ISO-8859-8',
0.000000,0,0.000000,'iso-8859-9'            => 'ISO-8859-9',
0.000000,0,0.000000,#'jis0201-raw'           => 'JIS_X0201',
0.000000,0,0.000000,#'jis0208-raw'           => 'JIS_C6226-1983',
0.000000,0,0.000000,#'jis0212-raw'           => 'JIS_X0212-1990',
0.000000,0,0.000000,'koi8-r'                => 'KOI8-R',
0.000000,0,0.000000,'koi8-u'                => 'KOI8-U',
0.000000,0,0.000000,#'ksc5601-raw'           => 'KS_C_5601-1987',
0.000000,0,0.000000,'shiftjis'              => 'Shift_JIS',
0.000000,0,0.000000,'UTF-16'                => 'UTF-16',
0.000000,0,0.000000,'UTF-16BE'              => 'UTF-16BE',
0.000000,0,0.000000,'UTF-16LE'              => 'UTF-16LE',
0.000000,0,0.000000,'UTF-32'                => 'UTF-32',
0.000000,0,0.000000,'UTF-32BE'              => 'UTF-32BE',
0.000000,0,0.000000,'UTF-32LE'              => 'UTF-32LE',
0.000000,0,0.000000,'UTF-7'                 => 'UTF-7',
0.000000,0,0.000000,'utf-8-strict'          => 'UTF-8',
0.000000,0,0.000000,'viscii'                => 'VISCII',
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,# NOTE: %MIME_NAME_OF is still 1:1 mapping
0.000104,1,0.000104,our %ENCODE_NAME_OF = map { uc $MIME_NAME_OF{$_} => $_ } keys %MIME_NAME_OF;
0.000000,0,0.000000,
0.000000,0,0.000000,# Add additional 1:N mapping
0.000001,1,0.000001,$MIME_NAME_OF{'utf8'} = 'UTF-8';
0.000000,0,0.000000,
0.000000,0,0.000000,sub get_mime_name($) { $MIME_NAME_OF{$_[0]} };
0.000000,0,0.000000,
0.000000,0,0.000000,sub get_encode_name($) { $ENCODE_NAME_OF{uc $_[0]} };
0.000000,0,0.000000,
0.000022,1,0.000022,1;
0.000000,0,0.000000,__END__
